titulo,ano,genero,diretor,nota
Before Sunrise,1995,Romance,Richard Linklater,8.1
Before Sunset,2004,Romance,Richard Linklater,8.1
Before Midnight,2013,Drama,Richard Linklater,7.9
Fallen Angels,1995,Drama,Wong Kar-wai,7.5
Chungking Express,1994,Drama,Wong Kar-wai,8.0
In the Mood for Love,2000,Romance,Wong Kar-wai,8.1
Happy Together,1997,Drama,Wong Kar-wai,7.7
Call Me by Your Name,2017,Romance,Luca Guadagnino,7.8
La Haine,1995,Drama,Mathieu Kassovitz,8.1
City of God,2002,Crime,Fernando Meirelles,8.6
Amélie,2001,Romance,Jean-Pierre Jeunet,8.3
Millennium Mambo,2001,Drama,Hou Hsiao-hsien,7.1
Her,2013,Drama,Spike Jonze,8.0
Lost in Translation,2003,Drama,Sofia Coppola,7.7
Eternal Sunshine of the Spotless Mind,2004,Romance,Michel Gondry,8.3
"Paris, Texas",1984,Drama,Wim Wenders,8.1
Perfect Blue,1997,Thriller,Satoshi Kon,8.0
Paprika,2006,Sci-Fi,Satoshi Kon,7.7
The Dreamers,2003,Drama,Bernardo Bertolucci,7.1
Blue Valentine,2010,Drama,Derek Cianfrance,7.3
Frances Ha,2012,Comedy,Noah Baumbach,7.4
Lady Bird,2017,Drama,Greta Gerwig,7.4
The Worst Person in the World,2021,Drama,Joachim Trier,7.8
Aftersun,2022,Drama,Charlotte Wells,7.7
Past Lives,2023,Romance,Celine Song,7.8
Drive My Car,2021,Drama,Ryusuke Hamaguchi,7.5
Shoplifters,2018,Drama,Hirokazu Kore-eda,7.9
Nobody Knows,2004,Drama,Hirokazu Kore-eda,8.0
All About Lily Chou-Chou,2001,Drama,Shunji Iwai,7.5
Love Exposure,2008,Comedy,Sion Sono,8.1
Norwegian Wood,2010,Drama,Tran Anh Hung,6.3
The Virgin Suicides,1999,Drama,Sofia Coppola,7.2
Bones and All,2022,Romance,Luca Guadagnino,6.8
Portrait of a Lady on Fire,2019,Romance,Céline Sciamma,8.1
Raw,2016,Horror,Julia Ducournau,7.0
Titane,2021,Horror,Julia Ducournau,6.5
Oldboy,2003,Thriller,Park Chan-wook,8.3
Decision to Leave,2022,Romance,Park Chan-wook,7.3
Memories of Murder,2003,Crime,Bong Joon-ho,8.1
Parasite,2019,Thriller,Bong Joon-ho,8.5
Burning,2018,Drama,Lee Chang-dong,7.5
The Handmaiden,2016,Thriller,Park Chan-wook,8.1
Yi Yi,2000,Drama,Edward Yang,8.1
A Brighter Summer Day,1991,Drama,Edward Yang,8.2
Good Will Hunting,1997,Drama,Gus Van Sant,8.3
Dead Poets Society,1989,Drama,Peter Weir,8.1
Moonlight,2016,Drama,Barry Jenkins,7.4
Whiplash,2014,Drama,Damien Chazelle,8.5
Blade Runner 2049,2017,Sci-Fi,Denis Villeneuve,8.0
Arrival,2016,Sci-Fi,Denis Villeneuve,7.9
